City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
535,port-vila,-17.7338,168.3219,24.78,73,40,5.14,VU,1715040035
536,kavieng,-2.5744,150.7967,29.08,75,97,1.31,PG,1715040036
537,eyl,7.9803,49.8164,28.05,82,69,1.87,SO,1715040036
538,debre tabor,11.85,38.0167,16.02,29,32,1.04,ET,1715040036
539,chyorny yar,48.0624,46.1091,12.03,54,7,3.43,RU,1715040036
540,port macquarie,-31.4333,152.9167,16.05,69,98,5.13,AU,1715039738
541,arauco,-37.2463,-73.3175,11.66,92,77,11.13,CL,1715040036
542,burang,30.25,81.1667,-1.08,76,75,1.21,CN,1715040037
543,clarkston heights-vineland,46.3874,-117.083,14.8,57,100,5.14,US,1715039966
544,cabedelo,-6.9811,-34.8339,26.37,87,100,3.51,BR,1715040037
545,olinda,-8.0089,-34.8553,24.85,100,100,2.06,BR,1715040037
546,ungsang-nodongjagu,42.3578,130.4622,9.81,61,100,3.52,KP,1715040037
547,falmouth,50.1544,-5.0711,12.32,90,100,3.09,GB,1715040037
548,gunjur,13.2019,-16.7339,24.04,88,0,1.54,GM,1715040038
549,victoria,22.2855,114.1577,28.86,87,100,2.68,HK,1715039947
550,mandalgovi,45.7625,106.2708,15.76,26,6,2.93,MN,1715040038
551,sakaiminato,35.55,133.2333,18.99,72,75,6.69,JP,1715040038
552,amos,48.5669,-78.1162,8.34,71,96,2.2,CA,1715040038
553,villa bruzual,9.3328,-69.1208,28.55,71,86,1.63,VE,1715040038
554,tongchuanshi,35.0806,109.0897,20.11,47,12,1.12,CN,1715040039
555,don luan,11.5333,106.9167,28.3,71,35,1.47,VN,1715040039
556,lanivtsi,49.8633,26.0908,13.97,93,95,3.11,UA,1715040039
557,north bend,43.4065,-124.2243,12.95,71,100,7.2,US,1715040039
558,bintulu,3.1667,113.0333,26.23,94,20,1.54,MY,1715040039
559,tual,-5.6667,132.75,27.42,83,100,7.14,ID,1715040039
560,kunming,25.0389,102.7183,12.96,62,0,1.0,CN,1715040005
561,bikenibeu village,1.3673,173.1241,31.98,66,20,4.12,KI,1715040040
562,tomohon,1.3346,124.8392,23.52,75,100,0.89,ID,1715040040
563,mitu,1.1983,-70.1733,24.67,89,100,0.89,CO,1715040040
564,lautoka,-17.6167,177.4667,29.92,66,75,4.12,FJ,1715040040
565,masuguru,-11.3667,38.4167,20.63,98,7,0.66,TZ,1715040040
566,kirakira,-10.4544,161.9205,30.82,68,96,4.08,SB,1715040041
567,elko,41.0002,-115.5012,11.01,45,98,5.36,US,1715040041
568,touros,-5.1989,-35.4608,26.21,88,68,3.81,BR,1715040041
569,lincheng,19.9078,109.6858,25.96,82,55,1.01,CN,1715040041
